dimension_a,group_a,dimension_b,group_b,n_group,status,n,pct_within_group,pct_of_unemployed
Maakond,Ida-Virumaa,age_group,55+,90,not sent,21,0.23333333333333334,0.004203362690152122
Maakond,Ida-Virumaa,age_group,55+,90,not participated,6,0.06666666666666667,0.0012009607686148918
Maakond,Ida-Virumaa,age_group,55+,90,participated,63,0.7,0.012610088070456365
Maakond,Järvamaa,age_group,15–24,27,not sent,5,0.18518518518518517,0.0010008006405124099
Maakond,Järvamaa,age_group,15–24,27,not participated,0,0.0,0.0
Maakond,Järvamaa,age_group,15–24,27,participated,22,0.8148148148148148,0.004403522818254604
Maakond,Järvamaa,age_group,25–34,38,not sent,8,0.21052631578947367,0.0016012810248198558
Maakond,Järvamaa,age_group,25–34,38,not participated,1,0.02631578947368421,0.00020016012810248197
Maakond,Järvamaa,age_group,25–34,38,participated,29,0.7631578947368421,0.005804643714971977
Maakond,Järvamaa,age_group,35–44,45,not sent,9,0.2,0.001801441152922338
Maakond,Järvamaa,age_group,35–44,45,not participated,0,0.0,0.0
Maakond,Järvamaa,age_group,35–44,45,participated,36,0.8,0.007205764611689352
Maakond,Järvamaa,age_group,45–54,29,not sent,2,0.06896551724137931,0.00040032025620496394
Maakond,Järvamaa,age_group,45–54,29,not participated,1,0.034482758620689655,0.00020016012810248197
Maakond,Järvamaa,age_group,45–54,29,participated,26,0.896551724137931,0.005204163330664532
Maakond,Järvamaa,age_group,55+,13,not sent,2,0.15384615384615385,0.00040032025620496394
Maakond,Järvamaa,age_group,55+,13,not participated,0,0.0,0.0
Maakond,Järvamaa,age_group,55+,13,participated,11,0.8461538461538461,0.002201761409127302
Maakond,Jõgevamaa,age_group,15–24,5,not sent,0,0.0,0.0
Maakond,Jõgevamaa,age_group,15–24,5,not participated,0,0.0,0.0
Maakond,Jõgevamaa,age_group,15–24,5,participated,5,1.0,0.0010008006405124099
Maakond,Jõgevamaa,age_group,25–34,8,not sent,3,0.375,0.0006004803843074459
Maakond,Jõgevamaa,age_group,25–34,8,not participated,0,0.0,0.0
Maakond,Jõgevamaa,age_group,25–34,8,participated,5,0.625,0.0010008006405124099
Maakond,Jõgevamaa,age_group,35–44,25,not sent,6,0.24,0.0012009607686148918
Maakond,Jõgevamaa,age_group,35–44,25,not participated,1,0.04,0.00020016012810248197
Maakond,Jõgevamaa,age_group,35–44,25,participated,18,0.72,0.003602882305844676
Maakond,Jõgevamaa,age_group,45–54,26,not sent,4,0.15384615384615385,0.0008006405124099279
Maakond,Jõgevamaa,age_group,45–54,26,not participated,0,0.0,0.0
Maakond,Jõgevamaa,age_group,45–54,26,participated,22,0.8461538461538461,0.004403522818254604
Maakond,Jõgevamaa,age_group,55+,9,not sent,0,0.0,0.0
Maakond,Jõgevamaa,age_group,55+,9,not participated,0,0.0,0.0
Maakond,Jõgevamaa,age_group,55+,9,participated,9,1.0,0.001801441152922338
Maakond,Lääne-Virumaa,age_group,15–24,12,not sent,2,0.16666666666666666,0.00040032025620496394
Maakond,Lääne-Virumaa,age_group,15–24,12,not participated,1,0.08333333333333333,0.00020016012810248197
Maakond,Lääne-Virumaa,age_group,15–24,12,participated,9,0.75,0.001801441152922338
Maakond,Lääne-Virumaa,age_group,25–34,32,not sent,8,0.25,0.0016012810248198558
Maakond,Lääne-Virumaa,age_group,25–34,32,not participated,1,0.03125,0.00020016012810248197
Maakond,Lääne-Virumaa,age_group,25–34,32,participated,23,0.71875,0.004603682946357086
Maakond,Lääne-Virumaa,age_group,35–44,46,not sent,12,0.2608695652173913,0.0024019215372297837
Maakond,Lääne-Virumaa,age_group,35–44,46,not participated,0,0.0,0.0
Maakond,Lääne-Virumaa,age_group,35–44,46,participated,34,0.7391304347826086,0.0068054443554843875
